Text1,Text2,domain,Same Causal Variable,Variable Name,explanation (optional)
Incarnation,Hard_times,physics,False,,
Occasion,High_time,physics,True,Time,
Future,Present,physics,True,Time relativity ,
Prime_time,Hour,physics,False,,
Hard_time,Life_sentence,physics,False,,
Tankage,Porterage,physics,False,,
Positive_charge,Electrostatic_charge,physics,True,charge type,
Slight_care,Due_care,physics,True,Care intensity ,
Suicide_mission,Mission_impossible,physics,True,Mission difficulty ,
Levy,Assessment,physics,False,,
Annulet,Ordinary,physics,False,,
Rocket_fuel,Undercharge,physics,False,,
Radiation_pressure,Vapor_pressure,physics,True,pressure  type,
Impression,Compression,physics,True,pressure  type,
Barometric_pressure,Compartment_pressure,physics,False,,
Sampling_frequency,Attendance,physics,False,,
Demand-pull_inflation,Cost-pull_inflation,finance,True,Inflation type,
Rational_motive,Ethical_motive,psychology,True,Motivation type,
Air_transportation_system,Short_line,sociology,False,,
Connection,Airlift,sociology,False,,
Train_fare,Airfare,sociology,True,,
Hauling,Express,sociology,True,Transport type,
Newness,Oldness,sociology,True,age,
Antiquity,Golden_age,sociology,False,,
Minority,Voting_age,sociology,True,Age,
Year_dot,Eon,sociology,True,Time,
Hysteria,Anxiety_neurosis,psychology,True,Mental state ,
Duress,Heartbeat,physics,False,,
Reaction,Stress,physics,False,,
Brunt,Energy,physics,False,,
Line_personnel,Management_personnel,physics,True,,
Headquarters,Legion,physics,True,,
Road_rage,Domestic_violence,physics,True,Crime,
Influence,Moloch,physics,False,,
Trade,Accountancy,sociology,False,,
Stemmer,Sorting_algorithm,computer science,False,,
Diligence,Strictness,psychology,True,,
Body_temperature,Mercury,physics,False,,
Heat,Cold,physics,True,Temperature,
Absolute_space,Mathematical_space,physics,True,Space,
Enclosure,Expanse,physics,True,Area,
Separation,Terreplein,physics,False,,
Indentation,Margin,physics,True,Spacial features,
Work,Mechanical_energy,physics,True,,
Qi,Juice,physics,False,,
Redis,Cassandra,computer science,False,,
Entrepreneur,Blue Collar Worker,sociology,True,Work type,
Very High,Very Low,urban studies,False,,Too general
Friendship Network: The group of individuals with whom one has a close personal relationship.,Family Network: The group of individuals related by blood or marriage.,sociology,True,Social Networks,
Regular doctor checkups,Annual health screenings,health,True,frequency of helth checkups,
Outgoing,High self-esteem,psychology,True,type of personality,
Four-Dimensional Space,One-Dimensional Space,physics,True,the number of space dimensions ,
Entrepreneur,Professional,sociology,True,Type of profession,
Reading-Writing Learner,Kinesthetic Learner,psychology,True,Type of study,
future-mindedness,excitement-seeking,psychology,True,Type of motivations,
Poverty Line,Upper Middle Class,sociology,True,Economic status,
Harvard Architecture,Cache Memory Hierarchy,computer science,True,architecture type,
Temperature Mapping,Stable Temperature,semiconductor manufacturing,True,Temperature change,
vandalism and graffiti,street muggings,urban studies,True,Types of crimes,
Forward Dividend Yield: The next expected dividend payment divided by the current stock price.,Trailing Dividend Yield: The most recent dividend payment divided by the current stock price.,finance,True,Yield types,
stable interest rate period,central bank rate hikes,finance,True,change in interest rate,
Never married,Bachelor's degree recipient,sociology,False,,The first value describes if a person got married or not the other one describes if got some usniversity education or not
Office Worker,Farmer,health,True,Type of working environment ,
Relative Time,Boiling Point,physics,False,,One is related to temperature or pressure the other is related to time
Emotion-Focused,Self-Aware,psychology,False,,I cant really judge 
Online Network,Isolated Individual,sociology,False,,The first text describes a type of network the other text describes how well an individual is connected
Artistic Pursuits,Poverty Line,sociology,False,,
Dispersion,Magnetic field,physics,False,,
Prescription Follower,Underweight,health,False,,
Religion: A social institution that provides a system of beliefs and practices related to the supernatural.,Family Network: The group of individuals related by blood or marriage.,sociology,False,,
Bachelor's degree recipient,Ph.D. holder,sociology,True,Level of education ,
Stressful work deadlines,Isolated living,health,False,,
Elapsed Time,Audio Frequency,physics,False,,
Library,Moderate,urban studies,False,,
Bearish Trend,Technology Sector,finance,False,,one is a trend one is a sctor
Early morning awakenings,Daytime naps,health,True,Sleeping patterns,
Teetotaler,Social Drinker,health,True,Drinking habits,
C++,JavaScript,computer science,True,Programming languages,
neglectful supervision,achievement-driven,psychology,True,supervision style,
Multicultural festivals,Ethnic enclaves,urban studies,True,Cultural events,
Stack Overflow Handling,Tree Traversal Algorithm,computer science,False,,One is an algorithm one is error handling
Wafer-Level Process,Bulk Silicon Process,semiconductor manufacturing,True,Process type,
Respiratory medication,Psychiatric medication,health,True,Type of medications,
Absorber (charcoal),High frequency wave (X-rays),physics,False,,one is material one is wave type
Transgender woman,Genderqueer person,sociology,True,Gender orientation,
Passion for Learning,Intrinsic Drive for Personal Growth,psychology,True,Learning motivation,
Uniform Etching,Stable Temperature,semiconductor manufacturing,False,,
Price-to-Sales Ratio: A valuation ratio that compares a company's stock price to its revenue per share.,S&P 500: A market-capitalization-weighted index of 500 large companies having common stock listed on the NYSE or NASDAQ.,finance,True,Stock index value,
Supply Chain Disruptions,Blockchain Applications Development,finance,False,,
"Class 10,000",Class 100,semiconductor manufacturing,True,Class type,
Compression,Queue,computer science,False,,
Tensile material (wire),High frequency wave (X-rays),physics,False,,
Volatile Market,Stable Market,finance,True,Market stability,
Linear Time Complexity,Tree Traversal Algorithm,computer science,False,,
Negative Charge,Positive Charge,physics,True,charge type,
High,Cooperative Housing,urban studies,False,,
Monthly community events,Alcohol consumption,health,False,,
RISC (Reduced Instruction Set Computer) Architecture: A simplified instruction set,"C++: Object-oriented, compiled language",computer science,False,,
Community parks,Botanical gardens,urban studies,True,green spaces types,
Factory Worker,Underweight,health,False,,
market crash,rising rates,finance,True,Market status,
deflation,creeping inflation,finance,True,Inflation status,
System-in-Package,Extreme Ultraviolet,semiconductor manufacturing,False,,
Class 1000,22 nm,semiconductor manufacturing,False,,one is related to clean room class the other one is about dimensions
