Text1,Text2,domain
Redis,Cassandra,computer science
Entrepreneur,Blue Collar Worker,sociology
Very High,Very Low,urban studies
Friendship Network: The group of individuals with whom one has a close personal relationship.,Family Network: The group of individuals related by blood or marriage.,sociology
Regular doctor checkups,Annual health screenings,health
Outgoing,High self-esteem,psychology
Four-Dimensional Space,One-Dimensional Space,physics
Entrepreneur,Professional,sociology
Reading-Writing Learner,Kinesthetic Learner,psychology
future-mindedness,excitement-seeking,psychology
Poverty Line,Upper Middle Class,sociology
Harvard Architecture,Cache Memory Hierarchy,computer science
Temperature Mapping,Stable Temperature,semiconductor manufacturing
vandalism and graffiti,street muggings,urban studies
Forward Dividend Yield: The next expected dividend payment divided by the current stock price.,Trailing Dividend Yield: The most recent dividend payment divided by the current stock price.,finance
stable interest rate period,central bank rate hikes,finance
Never married,Bachelor's degree recipient,sociology
Office Worker,Farmer,health
Relative Time,Boiling Point,physics
Emotion-Focused,Self-Aware,psychology
Online Network,Isolated Individual,sociology
Artistic Pursuits,Poverty Line,sociology
Dispersion,Magnetic field,physics
Prescription Follower,Underweight,health
Religion: A social institution that provides a system of beliefs and practices related to the supernatural.,Family Network: The group of individuals related by blood or marriage.,sociology
Bachelor's degree recipient,Ph.D. holder,sociology
Stressful work deadlines,Isolated living,health
Elapsed Time,Audio Frequency,physics
Library,Moderate,urban studies
Bearish Trend,Technology Sector,finance
Early morning awakenings,Daytime naps,health
Teetotaler,Social Drinker,health
C++,JavaScript,computer science
neglectful supervision,achievement-driven,psychology
Multicultural festivals,Ethnic enclaves,urban studies
Stack Overflow Handling,Tree Traversal Algorithm,computer science
Wafer-Level Process,Bulk Silicon Process,semiconductor manufacturing
Respiratory medication,Psychiatric medication,health
Absorber (charcoal),High frequency wave (X-rays),physics
Transgender woman,Genderqueer person,sociology
Passion for Learning,Intrinsic Drive for Personal Growth,psychology
Uniform Etching,Stable Temperature,semiconductor manufacturing
Price-to-Sales Ratio: A valuation ratio that compares a company's stock price to its revenue per share.,S&P 500: A market-capitalization-weighted index of 500 large companies having common stock listed on the NYSE or NASDAQ.,finance
Supply Chain Disruptions,Blockchain Applications Development,finance
"Class 10,000",Class 100,semiconductor manufacturing
Compression,Queue,computer science
Tensile material (wire),High frequency wave (X-rays),physics
Volatile Market,Stable Market,finance
Linear Time Complexity,Tree Traversal Algorithm,computer science
Negative Charge,Positive Charge,physics
High,Cooperative Housing,urban studies
Monthly community events,Alcohol consumption,health
RISC (Reduced Instruction Set Computer) Architecture: A simplified instruction set,"C++: Object-oriented, compiled language",computer science
Community parks,Botanical gardens,urban studies
Factory Worker,Underweight,health
market crash,rising rates,finance
deflation,creeping inflation,finance
System-in-Package,Extreme Ultraviolet,semiconductor manufacturing
Class 1000,22 nm,semiconductor manufacturing
Corporate Bonds: Debt securities issued by corporations.,Consumer Price Index (CPI): A measure of the average change over time in the prices paid by urban consumers for a market basket of consumer goods and services.,finance
wet etching,plasma etching,semiconductor manufacturing
Charge of a capacitor,Kinetic energy of a bullet,physics
Producer Price Index (PPI): A measure of the average change over time in the selling prices received by domestic producers for their output.,Consumer Price Index (CPI): A measure of the average change over time in the prices paid by urban consumers for a market basket of consumer goods and services.,finance
public transit system,knowledge economy,urban studies
reactive ion etching,wet etching,semiconductor manufacturing
full employment,severe unemployment,finance
Extremely Low,Medium,urban studies
PostgreSQL,Cassandra,computer science
Mixed-use developments,Botanical gardens,urban studies
Low,High,semiconductor manufacturing
Pain medication,Vegetarian,health
Chain Smoker,Social Drinker,health
Urban core with high-rise buildings,International cuisine restaurants,urban studies
high energy implantation,medium energy implantation,semiconductor manufacturing
Prism,Reflective Insulation,physics
alternative medicine followers,public healthcare users,sociology
Abundant and Diverse,Limited and Narrow,urban studies
High School Diploma,Unemployed,sociology
television viewers,radio listeners,sociology
Muon,Lepton,physics
rooftop gardens,sparse vegetation areas,urban studies
Financial services center,Manufacturing district,urban studies
7 nm,14 nm,semiconductor manufacturing
Trade Agreements,Technology Sector,finance
Thermal Energy,Potential Energy,physics
Low Market Share,Dominant Market Share,finance
Shared Values and Goals,Communication and Understanding,psychology
aluminum fins,copper tubing,physics
Vegan,Mediterranean,health
Historic preservation initiatives,State-of-the-art hospitals,urban studies
