Text1,Text2,Generated Same Causal Variable,Predicted Same Causal Variable,Generated Variable Name,Predicted Variable Name,Data Generation Model,Prediction Model,Domain,Explanation
Smart Growth Initiative,Zoning Regulation,True,True,Urban Planning Policy,Urban Planning Strategy,llama3-70b,lora_70b_en_v1,urban studies,
Recreational Space,Commercial Hub,True,True,Land Use Pattern,Land Use,llama3-70b,lora_70b_en_v1,urban studies,
Post-War Bungalow,Historic Landmark,True,,Building Architecture,,llama3-70b,lora_70b_en_v1,urban studies,"1.0, true, ""Building Architectural Style"", ""The style of a building, such as Victorian, Art Deco, or Modern."", ""The style of a building, such as Victorian, Art Deco, or Modern."", ""The style of a building, such as Victorian, Art Deco, or Modern."", ""The style of a building, such as Victorian, Art Deco, or Modern."", ""The style of a building, such as Victorian, Art Deco, or Modern."", ""The style of a building, such as Victorian, Art Deco, or Modern."", ""The style of a building, such as Victorian, Art Deco, or Modern."", ""The style of a building, such as Victorian, Art Deco, or Modern."", ""The style of a building, such as Victorian, Art Deco, or Modern."", ""The style of a building, such as Victorian, Art Deco, or Modern."", ""The style of a building, such"
Bike-Friendly Roads,Efficient Public Transit,True,True,Transportation Infrastructure,Urban Mobility,llama3-70b,lora_70b_en_v1,urban studies,
Art Deco Building,Post-War Bungalow,True,,Building Architecture,,llama3-70b,lora_70b_en_v1,urban studies,"1. ""Architectural Style"", true, ""Architectural Style"", ""The style of a building, such as Art Deco, Post-War Bungalow, or Victorian."", ""The style of a building, such as Art Deco, Post-War Bungalow, or Victorian."", false, ""Urban Planning"", ""The process of designing and organizing the physical structure of a city or town, including the arrangement of buildings, roads, and public spaces."", ""The style of a building, such as Art Deco, Post-War Bungalow, or Victorian."", false, ""Urban Morphology"", ""The study of the physical form of a city or town, including the arrangement of buildings, roads, and public spaces."", ""The style of a building, such as Art Deco, Post-War Bungalow, or Victorian."", false, ""Land Use"", ""The purpose for which a particular area of land is utilized, such as residential, commercial, or industrial."", ""The"
Public-Private Partnership,Decentralized Administration,True,True,Urban Governance,Administrative Structure,llama3-70b,lora_70b_en_v1,urban studies,
Green Space Oasis,Noise Pollution Hotspot,True,,Environmental Quality,,llama3-70b,lora_70b_en_v1,urban studies,"3. Urban Environmental Quality, True, Urban Environmental Quality, The quality of the environment in urban areas, including the air, water, soil, and noise, as well as the built environment and the ecosystem., The quality of the environment in urban areas, including the air, water, soil, and noise, as well as the built environment and the ecosystem., Green Space Oasis, Noise Pollution Hotspot, True, Urban Environmental Quality, The quality of the environment in urban areas, including the air, water, soil, and noise, as well as the built environment and the ecosystem., The quality of the environment in urban areas, including the air, water, soil, and noise, as well as the built environment and the ecosystem., Green Space Oasis, Noise Pollution Hotspot, True, Urban Environmental Quality, The quality of the environment in urban areas, including the air, water, soil, and noise, as well as the built environment and the ecosystem., The quality of the environment in urban areas"
Historic Museum Quarter,Lively Nightlife Scene,True,,Cultural Amenities,,llama3-70b,lora_70b_en_v1,urban studies,"3. Neighbourhood Characteristic, True, 3. Neighbourhood Characteristic, True, 3. Neighbourhood Characteristic, True, 3. Neighbourhood Characteristic, True, 3. Neighbourhood Characteristic, True, 3. Neighbourhood Characteristic, True, 3. Neighbourhood Characteristic, True, 3. Neighbourhood Characteristic, True, 3. Neighbourhood Characteristic, True, 3. Neighbourhood Characteristic, True, 3. Neighbourhood Characteristic, True, 3. Neighbourhood Characteristic, True, 3. Neighbourhood Characteristic, True, 3. Neighbourhood Characteristic, True, 3. Neighbourhood Characteristic, True, 3. Neighbourhood Characteristic, True, 3. Neighbourhood Characteristic, True, 3. Neighbourhood Characteristic, True, 3."
Noise Pollution Hotspot,Toxic Waste Site,True,True,Environmental Quality,Environmental Health Hazard,llama3-70b,lora_70b_en_v1,urban studies,
Family-Oriented Neighborhood,Student Quarter,True,True,Neighborhood Demographics,Neighborhood Character,llama3-70b,lora_70b_en_v1,urban studies,
Disaster-Prone Region,Zoning Regulation,False,,,,llama3-70b,lora_70b_en_v1,urban studies,"false  NaN  NaN  The two texts do not describe the same causal variable.,  The first text describes a region that is prone to disasters, while the second text describes a rule that governs how land can be used.,  Data Generation Model: gpt-3.5-turbo,  Domain: urban studies}  {""Text1"": ""Disaster-Prone Region"", ""Text2"": ""Zoning Regulation"", ""Predicted Same Causal Variable"": false, ""Predicted Variable Name"": NaN, ""Explanation"": """", ""Data Generation Model"": ""gpt-3.5-turbo"", ""Domain"": ""urban studies""}  {""Text1"": ""Disaster-Prone Region"", ""Text2"": ""Zoning Regulation"", ""Predicted Same Causal Variable"": false, ""Predicted Variable Name"": NaN, ""Explanation"": """", ""Data Generation Model"": ""gpt-3.5-turbo"", ""Domain"": ""urban studies"
Police Patrol Zone,Commercial Hub,False,True,,Urban Zone,llama3-70b,lora_70b_en_v1,urban studies,
Police Patrol Zone,Historic Landmark,False,,,,llama3-70b,lora_70b_en_v1,urban studies,"false  NaN  NaN  The two texts do not describe the same causal variable.,  The two texts are not similar.,  Data Generation Model: gpt-3.5-turbo,  Domain: urban studies."
Recreational Space,Efficient Public Transit,False,True,,Urban Planning,llama3-70b,lora_70b_en_v1,urban studies,
Financial Hub,Post-War Bungalow,False,,,,llama3-70b,lora_70b_en_v1,urban studies,"false, NaN, NaN,  Data Generation Model: gpt-3.5-turbo, Domain: urban studies, Data Generation Model: gpt-3.5-turbo, Domain: urban studies, Data Generation Model: gpt-3.5-turbo, Domain: urban studies, Data Generation Model: gpt-3.5-turbo, Domain: urban studies, Data Generation Model: gpt-3.5-turbo, Domain: urban studies, Data Generation Model: gpt-3.5-turbo, Domain: urban studies, Data Generation Model: gpt-3.5-turbo, Domain: urban studies, Data Generation Model: gpt-3.5-turbo, Domain: urban studies, Data Generation Model: gpt-3.5-turbo, Domain: urban studies, Data Generation Model: gpt-3.5-turbo, Domain: urban studies, Data Generation Model"
Art Deco Building,Decentralized Administration,False,,,,llama3-70b,lora_70b_en_v1,urban studies,"false, NaN, NaN,  Data Generation Model: gpt-3.5-turbo, Domain: architecture, Data Generation Model: gpt-3.5-turbo, Domain: architecture, Data Generation Model: gpt-3.5-turbo, Domain: architecture, Data Generation Model: gpt-3.5-turbo, Domain: architecture, Data Generation Model: gpt-3.5-turbo, Domain: architecture, Data Generation Model: gpt-3.5-turbo, Domain: architecture, Data Generation Model: gpt-3.5-turbo, Domain: architecture, Data Generation Model: gpt-3.5-turbo, Domain: architecture, Data Generation Model: gpt-3.5-turbo, Domain: architecture, Data Generation Model: gpt-3.5-turbo, Domain: architecture, Data Generation Model: gpt-3.5-turbo"
