variable definition,values
Cognitive Style,"['Analytical', 'Intuitive', 'Pragmatic']"
Emotional Regulation,"['Self-Aware', 'Emotion-Focused', 'Cognitive-Reappraisal']"
Personality Traits,"['Extraverted', 'Introverted', 'Agreeable', 'Conscientious']"
Learning Strategies,"['Reinforcement', 'Observational', 'Exploratory']"
Motivational Orientation,"['Intrinsic', 'Extrinsic', 'Amotivational']"
Social Support,"['Highly Supportive', 'Moderately Supportive', 'Lowly Supportive']"
Coping Mechanisms,"['Problem-Focused', 'Emotion-Focused', 'Avoidant']"
Self-Esteem,"['High', 'Moderate', 'Low']"
Attention Style,"['Focused', 'Distractible', 'Selective']"
Memory Type,"['Episodic', 'Semantic', 'Working']"
