variable definition,values
"Interest Rates: The percentage rate charged, expressed as an annual percentage of principal, by a lender to a borrower for the use of assets.","['Federal Funds Rate: The interest rate at which banks lend reserve balances to each other on an overnight basis.', 'Prime Rate: A benchmark interest rate that a primary bank uses to price its own commercial and industrial loans.', 'Mortgage Rates: The annual interest rate charged to borrowers for mortgages.']"
"Inflation: The rate at which the general level of prices for goods and services is rising, and subsequently, purchasing power is falling.","['Consumer Price Index (CPI): A measure of the average change over time in the prices paid by urban consumers for a market basket of consumer goods and services.', 'Producer Price Index (PPI): A measure of the average change over time in the selling prices received by domestic producers for their output.', 'Core Inflation: Inflation excluding food and energy prices.']"
Economic Growth: The increase in the production of goods and services in an economy over a certain period of time.,"[""Gross Domestic Product (GDP): The total monetary or market value of all the finished goods and services produced within a country's geographic borders in a specific time period."", ""Gross National Product (GNP): The total market value of all goods and services produced by a country's citizens and businesses, regardless of their location in the world."", 'Real Gross Domestic Product (RGDP): The nominal GDP adjusted for inflation.']"
Unemployment Rate: The percentage of the labor force that is without work but available for and seeking employment.,"['U6 Unemployment Rate: A broader measure of labor underutilization that includes not only the unemployed, but also those who are underemployed or have given up looking for work.', 'Youth Unemployment Rate: The percentage of the labor force between the ages of 16 and 24 who are unemployed.', 'Long-Term Unemployment Rate: The percentage of the unemployed who have been jobless for 27 weeks or more.']"
"Stock Market: A collection of stocks issued by corporations, representing an ownership share in the company.","['Dow Jones Industrial Average (DJIA): A price-weighted average of 30 significant stocks traded on the New York Stock Exchange and the NASDAQ.', 'S&P 500: A market-capitalization-weighted index of 500 large companies having common stock listed on the NYSE or NASDAQ.', 'NASDAQ Composite: A stock market index of the common stocks and similar securities listed on the NASDAQ stock market.']"
Bonds: A type of investment in which an investor loans money to an entity (typically a government or corporation) which borrows the funds for a defined period of time at a variable or fixed interest rate.,"['Treasury Bonds: Direct obligations of the U.S. government.', 'Municipal Bonds: Debt securities issued by state and local governments.', 'Corporate Bonds: Debt securities issued by corporations.']"
Interest Coverage Ratio: A financial ratio that indicates the number of times a company's earnings before interest and taxes (EBIT) can cover its interest expenses.,"['Times Interest Earned (TIE): The most common interest coverage ratio.', 'Earnings Before Interest and Taxes to Interest Expense (EBIT/Int): A more comprehensive interest coverage ratio that considers both operating and non-operating income.', ""Cash Flow Coverage Ratio: A measure of a company's ability to meet its interest obligations using its cash flow from operations.""]"
Dividend Yield: A financial ratio that shows how much a company pays out in dividends each year relative to its stock price.,"['Trailing Dividend Yield: The most recent dividend payment divided by the current stock price.', 'Forward Dividend Yield: The next expected dividend payment divided by the current stock price.', 'Dividend Payout Ratio: The percentage of earnings paid out as dividends.']"
Debt-to-Equity Ratio: A financial ratio that shows the relationship between a company's total liabilities and its shareholder equity.,"['Total Debt-to-Equity Ratio: The most common debt-to-equity ratio, calculated by dividing total liabilities by total equity.', 'Long-Term Debt-to-Equity Ratio: The ratio of long-term debt to equity.', ""Current Ratio: The ratio of current assets to current liabilities, which measures a company's ability to pay its short-term obligations.""]"
Price-to-Earnings Ratio: A valuation ratio of a company's current share price compared to its per-share earnings.,"[""Trailing Price-to-Earnings Ratio: The current share price divided by the last 12 months' earnings per share."", 'Forward Price-to-Earnings Ratio: The current share price divided by the estimated earnings per share for the next 12 months.', ""Price-to-Sales Ratio: A valuation ratio that compares a company's stock price to its revenue per share.""]"
