variable definition,values
Educational Attainment,"['High School Diploma', ""Associate's Degree"", ""Bachelor's Degree"", ""Master's Degree"", 'Doctoral Degree']"
Occupation,"['Manual Laborer', 'Retail Salesperson', 'Office Worker', 'Professional', 'Manager']"
Housing Type,"['Apartment', 'Townhouse', 'Detached House', 'Duplex', 'Mobile Home']"
Marital Status,"['Single', 'Married', 'Divorced', 'Widowed']"
Number of Children,"['No Children', 'One Child', 'Two Children', 'Three Children', 'Four or More Children']"
Income Source,"['Employment', 'Investments', 'Pension', 'Government Assistance', 'Other']"
Transportation,"['Public Transportation', 'Personal Vehicle', 'Bicycle', 'Walking', 'Other']"
Highest Level of Education in Household,"['No Education', 'Some High School', 'High School Graduate', 'Some College', 'College Graduate']"
Frequency of Exercise,"['Never', 'Less than once a week', 'Once a week', '2-3 times a week', 'Daily']"
Pet Ownership,"['No Pets', 'Dogs', 'Cats', 'Birds', 'Fish']"
