Text1,Text2,Same Causal Variable,Variable Name,model Name,domain,text1_text2_cos_sim_text-embedding-3-large
Smart Growth Initiative,Zoning Regulation,True,Urban Planning Policy,llama3-70b,urban studies,0.374
Recreational Space,Commercial Hub,True,Land Use Pattern,llama3-70b,urban studies,0.321
Post-War Bungalow,Historic Landmark,True,Building Architecture,llama3-70b,urban studies,0.291
Bike-Friendly Roads,Efficient Public Transit,True,Transportation Infrastructure,llama3-70b,urban studies,0.378
Art Deco Building,Post-War Bungalow,True,Building Architecture,llama3-70b,urban studies,0.388
Public-Private Partnership,Decentralized Administration,True,Urban Governance,llama3-70b,urban studies,0.294
Green Space Oasis,Noise Pollution Hotspot,True,Environmental Quality,llama3-70b,urban studies,0.385
Historic Museum Quarter,Lively Nightlife Scene,True,Cultural Amenities,llama3-70b,urban studies,0.303
Noise Pollution Hotspot,Toxic Waste Site,True,Environmental Quality,llama3-70b,urban studies,0.422
Family-Oriented Neighborhood,Student Quarter,True,Neighborhood Demographics,llama3-70b,urban studies,0.296
Disaster-Prone Region,Zoning Regulation,False,,llama3-70b,urban studies,0.258
Police Patrol Zone,Commercial Hub,False,,llama3-70b,urban studies,0.259
Police Patrol Zone,Historic Landmark,False,,llama3-70b,urban studies,0.199
Recreational Space,Efficient Public Transit,False,,llama3-70b,urban studies,0.273
Financial Hub,Post-War Bungalow,False,,llama3-70b,urban studies,0.208
Art Deco Building,Decentralized Administration,False,,llama3-70b,urban studies,0.219
Student Quarter,Noise Pollution Hotspot,False,,llama3-70b,urban studies,0.233
Retiree Enclave,Commercial Hub,False,,llama3-70b,urban studies,0.302
Toxic Waste Site,Lively Nightlife Scene,False,,llama3-70b,urban studies,0.182
Waterway Access,Emergency Response Hub,False,,llama3-70b,urban studies,0.221
Solenoid Coil,Bar Magnet,True,Magnetic Field,llama3-70b,physics,0.436
Fiberglass,Reflective Insulation,True,Thermal Insulator,llama3-70b,physics,0.423
Fixed Axis,Ideal Rigid Body,True,Kinematic Constraint,llama3-70b,physics,0.443
Styrofoam,Vacuum Flask,True,Thermal Insulator,llama3-70b,physics,0.325
Vacuum Flask,Ceramic Fiber,True,Thermal Insulator,llama3-70b,physics,0.31
Prism,Water,True,Optical Medium,llama3-70b,physics,0.315
Heat Engine,Refrigerator,True,Thermodynamic System,llama3-70b,physics,0.38
X-Ray Tube,Laser Diode,True,Radiation Source,llama3-70b,physics,0.406
Tidal Force,Gravitational Wave,True,Gravitational Field,llama3-70b,physics,0.517
Tidal Force,Black Hole,True,Gravitational Field,llama3-70b,physics,0.416
Vibrating Diaphragm,Bar Magnet,False,,llama3-70b,physics,0.314
Prism,Reflective Insulation,False,,llama3-70b,physics,0.277
Air,Ideal Rigid Body,False,,llama3-70b,physics,0.224
Gold Plating,Vacuum Flask,False,,llama3-70b,physics,0.195
Gold Plating,Ideal Gas,False,,llama3-70b,physics,0.23
Guitar String,Ceramic Fiber,False,,llama3-70b,physics,0.245
Laser Diode,Water,False,,llama3-70b,physics,0.188
Radio Wave,Refrigerator,False,,llama3-70b,physics,0.275
Ceramic Fiber,Laser Diode,False,,llama3-70b,physics,0.297
Prism,Gravitational Wave,False,,llama3-70b,physics,0.274
Sleepwalker,Nap Lover,True,Sleep Pattern,llama3-70b,health,0.409
Athletic Build,Underweight,True,Body Mass Index,llama3-70b,health,0.352
Flexitarian,Omnivore,True,Diet Type,llama3-70b,health,0.455
Factory Worker,Office Worker,True,Occupational Hazards,llama3-70b,health,0.671
Office Worker,Farmer,True,Occupational Hazards,llama3-70b,health,0.379
Obese,Underweight,True,Body Mass Index,llama3-70b,health,0.501
Factory Worker,Construction Worker,True,Occupational Hazards,llama3-70b,health,0.684
Firefighter,Healthcare Professional,True,Occupational Hazards,llama3-70b,health,0.343
Healthcare Professional,Factory Worker,True,Occupational Hazards,llama3-70b,health,0.318
Vegetarian,Pescatarian,True,Diet Type,llama3-70b,health,0.635
Prescription Follower,Nap Lover,False,,llama3-70b,health,0.297
Factory Worker,Underweight,False,,llama3-70b,health,0.197
Dose Adjuster,Omnivore,False,,llama3-70b,health,0.202
Flexitarian,Mountain Dweller,False,,llama3-70b,health,0.215
Chain Smoker,Office Worker,False,,llama3-70b,health,0.245
Non Smoker,Farmer,False,,llama3-70b,health,0.302
