variable definition,values
Type of semiconductor material,"['Silicon substrate', 'Gallium arsenide wafer', 'Silicon carbide base', 'Germanium layer']"
Photolithography light source,"['Ultraviolet beam', 'Deep ultraviolet radiation', 'Extreme ultraviolet light']"
Wafer surface coating,"['Photoresist film', 'Antireflective coating', 'Hard mask layer']"
Etching technique,"['Wet chemical etching', 'Reactive ion etching', 'Plasma etching', 'Laser ablation']"
Doping method,"['Ion implantation', 'Gas phase doping', 'Solid source diffusion']"
Packaging type,"['Flip-chip assembly', 'Wire-bonded package', 'Wafer-level packaging']"
Contamination control,"['Clean room environment', 'Air filtration system', 'Chemical filtration unit']"
Inspection method,"['Optical microscopy', 'Scanning electron microscopy', 'X-ray inspection']"
Circuit patterning method,"['Stepper exposure', 'Direct-write e-beam', 'Nanoimprint lithography']"
Thermal processing,"['Rapid thermal annealing', 'Furnace baking', 'Laser thermal processing']"
