variable definition,values
Wafer size,"['200mm', '300mm', '450mm']"
Doping type,"['n-type', 'p-type', 'intrinsic']"
Substrate material,"['silicon', 'gallium arsenide', 'indium phosphide']"
Epitaxial layer thickness,"['thin', 'medium', 'thick']"
Lithography resolution,"['low resolution', 'medium resolution', 'high resolution']"
Etching method,"['wet etching', 'dry etching', 'plasma etching']"
Deposition technique,"['physical vapor deposition', 'chemical vapor deposition', 'atomic layer deposition']"
Annealing temperature,"['low temperature', 'medium temperature', 'high temperature']"
Ion implantation energy,"['low energy', 'medium energy', 'high energy']"
Metallization process,"['aluminum metallization', 'copper metallization', 'gold metallization']"
