variable definition,values
Population density,"['sparse suburban', 'dense urban', 'rural countryside', 'compact city center', 'industrial zone', 'residential area', 'commercial district', 'historic downtown', 'university campus', 'waterfront development']"
Transportation infrastructure,"['extensive subway system', 'limited bus network', 'bike-friendly city', 'car-centric layout', 'walkable neighborhoods', 'light rail network', 'ferry connections', 'airport hub', 'intercity train station', 'gridlocked traffic']"
Housing types,"['high-rise apartments', 'single-family homes', 'townhouses', 'loft conversions', 'historic homes', 'modernist architecture', 'prefabricated housing', 'social housing projects', 'luxury condos', 'tiny homes']"
Green spaces,"['abundant parks', 'community gardens', 'urban forests', 'green roofs', 'riverfront promenades', 'brownfield redevelopment', 'greenbelts', 'wildlife corridors', 'vertical gardens', 'urban agriculture']"
Cultural amenities,"['world-class museums', 'vibrant music scene', 'historic landmarks', 'public art installations', 'ethnic enclaves', 'creative districts', 'festivals and events', 'culinary destinations', 'theater and dance venues', 'literary hubs']"
Economic base,"['financial services hub', 'manufacturing center', 'research and development cluster', 'tourism destination', 'education and healthcare hub', 'logistics and distribution hub', 'creative industries hub', 'government and public sector hub', 'energy and resources hub', 'agriculture and food processing hub']"
Social diversity,"['ethnically diverse neighborhoods', 'gentrifying areas', 'immigrant communities', 'student populations', 'retirement communities', 'family-friendly areas', 'artist enclaves', 'professional class neighborhoods', 'working-class areas', 'wealthy enclaves']"
Environmental sustainability,"['zero-waste initiatives', 'renewable energy projects', 'green building standards', 'carbon-neutral developments', 'eco-districts', 'sustainable transportation options', 'water conservation measures', 'urban heat island mitigation', 'resilient infrastructure', 'climate adaptation strategies']"
Governance and planning,"['participatory budgeting', 'smart city initiatives', 'inclusive zoning policies', 'transit-oriented development', 'historic preservation efforts', 'public-private partnerships', 'community land trusts', 'form-based codes', 'new urbanism principles', 'mixed-use developments']"
Quality of life,"['high livability rankings', 'affordable cost of living', 'safe neighborhoods', 'accessible healthcare', 'quality education', 'recreational opportunities', 'cultural vibrancy', 'walkability', 'public transportation access', 'social cohesion']"
