Interaction value,Variable values,Explanation
Urban poverty,"[{'Variable definition': 'Level of urbanization', 'Variable value': 'Highly urbanized area'}, {'Variable definition': 'Poverty level', 'Variable value': 'High poverty rate'}]","Urban poverty represents a high level of urbanization and a high poverty rate, indicating that the area is densely populated and has a significant number of people living below the poverty line."
Rural education,"[{'Variable definition': 'Level of rurality', 'Variable value': 'Predominantly rural area'}, {'Variable definition': 'Education level', 'Variable value': 'Low educational attainment'}]","Rural education represents a predominantly rural area with low educational attainment, indicating that the area is sparsely populated and has a significant number of people with low levels of education."
Suburban wealth,"[{'Variable definition': 'Suburban area', 'Variable value': 'Suburban neighborhood'}, {'Variable definition': 'Wealth level', 'Variable value': 'High income households'}]","Suburban wealth represents a suburban neighborhood with high income households, indicating that the area is a residential area outside of a city with a significant number of wealthy residents."
Inner-city crime,"[{'Variable definition': 'Inner-city area', 'Variable value': 'Inner-city neighborhood'}, {'Variable definition': 'Crime level', 'Variable value': 'High crime rate'}]","Inner-city crime represents an inner-city neighborhood with a high crime rate, indicating that the area is a densely populated urban area with a significant number of criminal activities."
Rural unemployment,"[{'Variable definition': 'Rural area', 'Variable value': 'Rural community'}, {'Variable definition': 'Unemployment level', 'Variable value': 'High unemployment rate'}]","Rural unemployment represents a rural community with a high unemployment rate, indicating that the area is sparsely populated and has a significant number of people who are unemployed."
Urban gentrification,"[{'Variable definition': 'Urban area', 'Variable value': 'Urban neighborhood'}, {'Variable definition': 'Gentrification level', 'Variable value': 'High level of gentrification'}]","Urban gentrification represents an urban neighborhood with a high level of gentrification, indicating that the area is densely populated and has undergone significant changes in its demographic and socioeconomic makeup."
Suburban diversity,"[{'Variable definition': 'Suburban area', 'Variable value': 'Suburban neighborhood'}, {'Variable definition': 'Diversity level', 'Variable value': 'High level of diversity'}]","Suburban diversity represents a suburban neighborhood with a high level of diversity, indicating that the area is a residential area outside of a city with a significant number of people from different racial, ethnic, and socioeconomic backgrounds."
Rural isolation,"[{'Variable definition': 'Rural area', 'Variable value': 'Rural community'}, {'Variable definition': 'Isolation level', 'Variable value': 'High level of isolation'}]","Rural isolation represents a rural community with a high level of isolation, indicating that the area is sparsely populated and has limited access to resources and services."
Urban homelessness,"[{'Variable definition': 'Urban area', 'Variable value': 'Urban neighborhood'}, {'Variable definition': 'Homelessness level', 'Variable value': 'High level of homelessness'}]","Urban homelessness represents an urban neighborhood with a high level of homelessness, indicating that the area is densely populated and has a significant number of people who are homeless."
Suburban aging,"[{'Variable definition': 'Suburban area', 'Variable value': 'Suburban neighborhood'}, {'Variable definition': 'Aging level', 'Variable value': 'High level of aging'}]","Suburban aging represents a suburban neighborhood with a high level of aging, indicating that the area is a residential area outside of a city with a significant number of older adults."
