variable definition,values
Body Mass Index,"['Obesity', 'Overweight', 'Normal Weight', 'Underweight']"
Blood Pressure,"['Hypertension', 'Prehypertension', 'Normal Blood Pressure', 'Hypotension']"
Sleep Quality,"['Insomnia', 'Sleep Apnea', 'Restless Leg Syndrome', 'Good Sleep']"
Dietary Habits,"['Vegetarian', 'Vegan', 'Omnivore', 'Junk Food Addict']"
Physical Activity Level,"['Marathon Runner', 'Gym Enthusiast', 'Casual Walker', 'Couch Potato']"
Mental Health Status,"['Depression', 'Anxiety Disorder', 'Bipolar Disorder', 'Mental Wellness']"
Smoking Status,"['Heavy Smoker', 'Social Smoker', 'Ex-Smoker', 'Non-Smoker']"
Alcohol Consumption,"['Heavy Drinker', 'Social Drinker', 'Light Drinker', 'Teetotaler']"
Family Medical History,"['Heart Disease', 'Diabetes', 'Cancer', 'No Known Conditions']"
Occupational Hazards,"['Toxic Chemical Exposure', 'Heavy Lifting', 'Sedentary Job', 'Safe Work Environment']"
