variable definition,values
Self-Esteem,"['Confident Individual', 'Insecure Person', 'Overachiever', 'Perfectionist', 'Self-Doubter']"
Coping Mechanism,"['Avoider', 'Denier', 'Rationalizer', 'Confronter', 'Analyzer']"
Personality Type,"['Social Butterfly', 'Introverted Thinker', 'Adventurous Explorer', 'Cautious Planner', 'Spontaneous Free Spirit']"
Motivation Style,"['Achievement-Oriented', 'Socially Driven', 'Intrinsically Motivated', 'Extrinsically Motivated', 'Fear-Driven']"
Emotional Regulation,"['Emotional Responder', 'Rational Thinker', 'Impulsive Reactor', 'Empathetic Listener', 'Avoidant Distancer']"
Learning Style,"['Visual Learner', 'Auditory Processor', 'Hands-On Explorer', 'Reflective Thinker', 'Social Collaborator']"
Conflict Resolution,"['Competitive Debater', 'Collaborative Problem-Solver', 'Avoidant Evader', 'Accommodating Peacemaker', 'Compromising Mediator']"
Social Anxiety,"['Outgoing Socialite', 'Anxious Wallflower', 'Confident Networker', 'Shy Observer', 'Overwhelmed Introvert']"
Impulsivity,"['Spontaneous Adventurer', 'Cautious Planner', 'Impulsive Risk-Taker', 'Reflective Decision-Maker', 'Anxious Procrastinator']"
Resilience,"['Flexible Adaptor', 'Resilient Bouncer', 'Emotionally Vulnerable', 'Trauma Survivor', 'Optimistic Fighter']"
Creativity,"['Innovative Thinker', 'Artistic Expresser', 'Analytical Problem-Solver', 'Imaginative Dreamer', 'Practical Implementer']"
