variable definition,values
Wafer Type,"['Silicon Wafer', 'Germanium Wafer', 'Gallium Arsenide Wafer', 'Indium Phosphide Wafer', 'Silicon Carbide Wafer']"
Fabrication Node,"['7nm FinFET', '10nm FinFET', '14nm FinFET', '28nm HKMG', '40nm LP']"
Transistor Type,"['NMOS Transistor', 'PMOS Transistor', 'Bipolar Junction Transistor', 'Field-Effect Transistor', 'Insulated Gate Bipolar Transistor']"
Dielectric Material,"['Silicon Dioxide', 'Silicon Nitride', 'Aluminum Oxide', 'Hafnium Oxide', 'Zirconium Oxide']"
Metallization Layer,"['Aluminum Interconnect', 'Copper Interconnect', 'Tungsten Interconnect', 'Copper-Aluminum Hybrid Interconnect', 'Copper-Tungsten Hybrid Interconnect']"
Etching Method,"['Wet Etching', 'Dry Etching', 'Reactive Ion Etching', 'Deep Reactive Ion Etching', 'Inductively Coupled Plasma Etching']"
Doping Material,"['Boron Dopant', 'Phosphorus Dopant', 'Arsenic Dopant', 'Antimony Dopant', 'Bismuth Dopant']"
Wafer Cleaning Method,"['RCA Cleaning', 'Piranha Cleaning', 'SC1 Cleaning', 'SC2 Cleaning', 'HF Last Cleaning']"
Packaging Type,"['Dual In-Line Package', 'Quad Flat Package', 'Ball Grid Array Package', 'Land Grid Array Package', 'Chip Scale Package']"
Testing Method,"['Functional Testing', 'Parametric Testing', 'Scan-Based Testing', 'Built-In Self-Test', 'JTAG Testing']"
